teamId,win,T1BaronFirstKill,T1BaronKills,T1ChampionFirstKill,T1ChampionKills,T1DragonFirstKill,T1DragonKills,T1InhibitorFirstKill,T1InhibitorKills,T1RiftHeraldFirstKill,T1RiftHeraldKills,T1TowerFirstKill,T1TowerKills,T1TOP,T1JUN,T1MID,T1ADC,T1SPT,teamId,T2BaronFirstKill,T2BaronKills,T2ChampionFirstKill,T2ChampionKills,T2DragonFirstKill,T2DragonKills,T2InhibitorFirstKill,T2InhibitorKills,T2RiftHeraldFirstKill,T2RiftHeraldKills,T2TowerFirstKill,T2TowerKills,T2TOP,T2JUN,T2MID,T2ADC,T2SPT,GameDuration
100,FALSE,FALSE,0,FALSE,30,TRUE,1,FALSE,0,FALSE,0,FALSE,2,1332,57,789,625,15,200,TRUE,1,TRUE,41,FALSE,3,TRUE,1,TRUE,1,TRUE,9,1607,49,961,433,16,1786
100,FALSE,FALSE,0,TRUE,29,FALSE,1,FALSE,0,FALSE,0,FALSE,4,1899,72,715,373,8,200,FALSE,0,FALSE,52,TRUE,4,TRUE,1,TRUE,1,TRUE,8,1668,54,895,672,20,1864
100,TRUE,TRUE,1,TRUE,54,FALSE,4,FALSE,2,TRUE,1,FALSE,9,1807,44,973,936,11,200,FALSE,0,FALSE,57,TRUE,1,TRUE,2,FALSE,1,TRUE,6,2797,51,1076,752,9,2541
100,FALSE,FALSE,0,TRUE,38,FALSE,0,FALSE,0,FALSE,0,TRUE,2,1325,47,657,1054,11,200,TRUE,1,FALSE,37,TRUE,4,TRUE,2,FALSE,0,FALSE,10,1339,57,1119,574,6,2051
100,TRUE,TRUE,1,TRUE,41,TRUE,3,TRUE,2,TRUE,2,TRUE,10,1626,51,427,838,9,200,FALSE,0,FALSE,26,FALSE,0,FALSE,0,FALSE,0,FALSE,1,1622,58,861,391,17,1777
100,TRUE,FALSE,0,TRUE,45,FALSE,4,TRUE,5,TRUE,2,TRUE,11,2382,47,1175,1141,17,200,FALSE,0,FALSE,33,TRUE,1,FALSE,0,FALSE,0,FALSE,2,1916,61,1400,1109,20,2291
100,FALSE,FALSE,0,TRUE,58,FALSE,0,TRUE,1,FALSE,0,TRUE,2,2838,81,1675,1478,39,200,FALSE,0,FALSE,51,FALSE,0,FALSE,1,FALSE,0,FALSE,2,3756,67,1755,792,19,1201
100,TRUE,FALSE,0,FALSE,43,FALSE,0,FALSE,1,FALSE,0,FALSE,4,2777,81,1099,1025,19,200,FALSE,0,TRUE,48,FALSE,0,TRUE,2,FALSE,0,TRUE,2,2443,65,990,1799,28,1165
100,TRUE,FALSE,0,TRUE,38,FALSE,2,TRUE,1,TRUE,1,TRUE,7,1498,45,620,711,5,200,TRUE,1,FALSE,17,TRUE,1,FALSE,0,FALSE,0,FALSE,4,1483,76,398,595,5,1933
100,TRUE,FALSE,0,TRUE,40,TRUE,2,TRUE,1,TRUE,1,TRUE,8,1156,35,1118,948,27,200,FALSE,0,FALSE,15,FALSE,0,FALSE,0,FALSE,1,FALSE,4,2471,33,315,190,6,1518
